verb	label
be	i
have	i
work	-1
do	i
go	i
exist	-1
support	i
use	-1
need	i
look	-1
become	-1
change	-1
try	-1
tend	-1
help	-1
talk	-1
lead	-1
disagree	a
fail	-1
want	i
start	i
put	-1
study	-1
back	i
rely	-1
describe	a
focus	-1
test	-1
disprove	a
apply	-1
create	-1
speak	i
cover	-1
contain	-1
run	-1
matter	-1
stop	-1
produce	-1
end	-1
spend	-1
lack	-1
contradict	a
cost	-1
fit	-1
refer	-1
examine	-1
address	-1
turn	-1
account	-1
compare	-1
leave	-1
match	-1
progress	-1
define	i
move	-1
improve	-1
identify	i
vary	-1
reach	-1
deal	-1
link	-1
yield	i
conduct	-1
evolve	-1
increase	-1
draw	i
suffer	-1
consist	-1
reference	-1
list	-1
seek	-1
send	-1
approach	-1
attempt	-1
benefit	-1
raise	-1
solve	-1
drive	-1
operate	-1
arise	-1
replicate	i
fuck	-1
sound	-1
build	i
share	i
push	i
save	-1
analyze	i
encourage	-1
explore	-1
reduce	-1
carry	-1
capture	-1
base	-1
constitute	-1
pay	-1
hurt	-1
correlate	-1
sit	-1
reject	i
aim	-1
concern	-1
rank	-1
highlight	a
validate	a
differ	-1
depend	-1
serve	-1
win	-1
equalize	-1
differentiate	-1
achieve	-1
grow	-1
force	-1
collect	-1
refute	a
break	-1
flip	-1
revolve	-1
throw	-1
limit	-1
influence	-1
evaluate	-1
treat	-1
impact	-1
view	-1
open	-1
suck	-1
bother	-1
review	-1
investigate	-1
collapse	-1
control	-1
pick	-1
lean	-1
alter	-1
pass	-1
sway	-1
paint	i
place	-1
expose	-1
hang	-1
invalidate	-1
face	-1
perform	-1
align	-1
prevent	-1
beat	-1
feature	-1
simulate	-1
avoid	-1
buy	-1
fill	-1
touch	-1
prohibit	-1
struggle	-1
replace	-1
violate	-1
frame	-1
incorporate	-1
mislead	-1
wear	-1
stem	-1
discount	-1
praise	-1
generate	-1
meet	-1
demand	-1
lose	-1
hide	-1
manage	-1
ban	-1
switch	-1
coexist	-1
target	-1
appeal	-1
correct	-1
fight	-1
dismiss	a
stack	-1
form	-1
minimize	-1
clarify	i
track	-1
promote	-1
analyse	i
stay	-1
remove	-1
fly	-1
stick	-1
earn	-1
disqualify	-1
design	-1
connect	-1
qualify	i
strike	-1
attribute	i
arrive	-1
function	-1
theorize	a
die	-1
assign	-1
deliver	-1
receive	-1
summarize	a
oppose	-1
group	-1
accomplish	-1
detail	i
unearth	i
adhere	-1
further	i
scream	-1
pull	-1
return	-1
last	-1
cut	-1
filter	-1
name	-1
falsify	a
gain	-1
educate	i
engage	-1
encompass	-1
succeed	i
search	-1
leak	i
visit	-1
punish	-1
biased	-1
translate	-1
fix	-1
debunk	a
kill	-1
behave	-1
outweigh	-1
induce	i
sum	-1
abound	-1
blame	-1
access	-1
shape	-1
eliminate	-1
model	-1
classify	-1
construct	-1
harm	-1
regard	i
invest	-1
hit	-1
separate	-1
reinforce	a
proceed	-1
owe	-1
lend	-1
incentivize	-1
label	-1
invent	-1
permit	-1
conflict	-1
conflate	-1
ruin	-1
arent	-1
deceive	-1
sell	-1
handle	-1
weigh	-1
boil	-1
practice	-1
endorse	i
introduce	i
