affirming,denying
algore,skepticscience
oxfamgb,ScienceNotDogma
globalactplan,Carbongate
GreenpeaceUK,Neets2245
WWF_Climate,Co2Green
OneClimate,thegwpfcom
Ed_Miliband,CO2Coalition
CarolineLucas,Action4Life_
DECCgovuk,fredpalmercoal
the_ecologist,NoTricksZone
James_BG,FChecker76
Revkin,caleb_rossiter
ClimateDesk,FriendsofCoalWV
climateprogress,JunkScience
grist,CO2notes
TreeHugger,ClimateSkeptic
kate_sheppard,eloarefab
drvox,adapt2030
bradplumer,JWSpry
simondonner,pplonia
ayanaeliza,ILuvCO2
MaryHeglar,uk_ecology
maanvisings,IceAgeFarmer
ABarnardNYT,msroberts0619
earthinstitute,wattsupwiththat
lisalsong,ThiagoMaia2503
dwallacewells,realDonaldTrump
GretaThunberg,ccdeditor
kzhill,ClimateDepot
J_M_Fitton,Electroversenet
YaleE360,FriendsOScience
guardianeco,ClimatismBlog
Amelia_Womack,ClimateRealists
ClimateHome,Tony__Heller
KarlMathiesen,ChrisMartzWX
PaulEDawson,IceAgeBob
floodsg,UvMeter
Khayhoe,GrandSolarMin
TimesClimate,KnowYourGreen1
DrShepherd2013,seanhannity
EstherNgumbi,Timbooooon
climategeek,StarryPole
coralsncaves,co2_the
NaomiAKlein,grand_solar
JustinHGillis,ClimateHiJinx
SasjaBeslik,caleb_rossiter
PEspinosaC,SylviaD32911201
MikeHudema,ScubaHobbs
LeoDiCaprio,notGHGs
tveitdal,clim8resistance
dpcarrington,globalsugarwar
ErikSolheim,DaveMyFace
Nick_Nuttall,50ShadesGreenNZ
RichardMcLellan,manny_ottawa
EricHolthaus,EdwinThwaites
cathmckenna,IQ2high2bTexGov
AndreaLearned,JimMaso02236687
GeorgeMonbiot,laurienappo
LeoHickman,RokoshME
AnnieMLeonard,Ike_Kiefer
johnupton,dieselfastpitch
billmckibben,VFigment
UNFCCC,SolarPowerEng
CBI_CC,AmazingPatriot
Fridays4future,Th3Hum4nB3ing
yv4ca,GTMGQ
AdaptOurWorld,Angels_of_Truth
BirthStrike,rgr1973
ExtinctionR,_My2_Cents_
gailbradbrook,FriendsOScience
CarbonBrief,tan123
DefendOurFuture,NikolovScience
Jamie_Margolin,JaggerMickOZ
MarkRuffalo,drwaheeduddin
BillNye,RogTallbloke
NRDC,swcrisis
SierraClub,ClimatePoet
EnvDefenseFund,SConwaySmith
Earthjustice,MedBennett
EcoWatch,SA_TEXROD
350,CoolsensuS
AOC,enzoilragu
GeorgeMonbiot,DenierBot
ChrisGPackham,kjell_yvik
sunrisemvmt,SuperFoxyLoxy
VarshPrakash,ElectricElecti1
ThisIsZeroHour,digitaldoc4
usclimatestrike,EdBohman
JayInslee,mattyg130
evanlweber,novakglobal
rgunns,willynerdal1
newconsensus,AGWHOAX1
drvox,EcoSenseNow
DrKWilkinson,Tony__Heller
leahstokes,vpnicholls
MichaelEMann,carlblom_robert
EricHolthaus,Barbarajdurkin
HeidiCullen,rln_nelson
DrKateMarvel,DarrinW74512672
